lecture	start	end	dur	dur_pct_of_lecture
w3-28	5.5	15.5	10.0	1%
w3-28	66.5	76.0	9.5	1%
w3-28	172.5	182.5	10.0	1%
w3-28	202.5	217.0	14.5	2%
w3-28	231.5	241.5	10.0	1%
w3-28	256.0	264.5	8.5	1%
w3-28	264.5	274.5	10.0	1%
w3-28	274.5	289.5	15.0	2%
w3-28	289.5	306.0	16.5	2%
w3-28	306.0	316.0	10.0	1%
w3-28	316.0	356.5	40.5	6%
w3-28	366.0	376.0	10.0	1%
w3-28	376.0	403.5	27.5	4%
w3-28	406.0	427.0	21.0	3%
w3-28	427.0	437.5	10.5	1%
w3-28	446.5	467.5	21.0	3%
w3-28	474.5	489.5	15.0	2%
w3-28	501.5	513.0	11.5	2%
w3-28	513.0	541.0	28.0	4%
w3-28	568.0	585.5	17.5	2%
w3-28	587.5	597.5	10.0	1%
w3-28	615.5	626.0	10.5	1%
w3-28	707.5	729.0	21.5	3%
